event_id,event_date,season,tournament,round,best_of,player_a,player_b,rank_a,rank_b,last5_wins_a,last5_wins_b,last5_frame_diff_a,last5_frame_diff_b,in_tournament_wins_a,in_tournament_wins_b,in_tournament_frame_diff_a,in_tournament_frame_diff_b,rest_days_a,rest_days_b,prev_decider_a,prev_decider_b,h2h_3y_wins_a,h2h_3y_wins_b,model_prob_a,price_taken_a,price_taken_b,close_odds_a,close_odds_b,winner,score_a,score_b,notes,feature_rank_gap,feature_last5_wins_diff,feature_last5_frame_diff_gap,feature_in_tournament_wins_diff,feature_in_tournament_frame_diff_gap,feature_rest_days_diff,feature_prev_decider_diff,feature_h2h_3y_wins_diff
uk_2025_r2_trump_si,2025-12-03,2025/2026,UK Championship,Round Two,11,Judd Trump,Si Jiahui,1,16,1,0,2,0,0,0,0,0,4.0,0.0,1,0,0,0,0.5185,1.36,3.30,1.36,3.30,player_a,6,3,,0.468750,0.200000,0.100000,0.000000,0.000000,1.333333,-1.000000,0.000000
uk_2025_r2_williams_pang,2025-12-03,2025/2026,UK Championship,Round Two,11,Mark Williams,Pang Junxu,5,30,1,0,2,0,0,0,0,0,3.0,0.0,1,0,0,0,0.5714,1.25,3.50,1.25,3.50,player_b,3,6,,0.781250,0.200000,0.100000,0.000000,0.000000,1.000000,-1.000000,0.000000
uk_2025_r2_wu_robertson,2025-12-03,2025/2026,UK Championship,Round Two,11,Wu Yize,Neil Robertson,13,4,1,1,2,4,0,0,0,0,3.0,3.0,1,0,0,0,0.0012,2.15,1.60,2.15,1.60,player_b,1,6,,-0.281250,0.000000,-0.100000,0.000000,0.000000,0.000000,-1.000000,0.000000
uk_2025_r2_ding_donaldson,2025-12-04,2025/2026,UK Championship,Round Two,11,Ding Junhui,Scott Donaldson,9,52,1,0,2,0,0,0,0,0,3.0,0.0,1,0,0,0,0.9527,1.25,3.50,1.25,3.50,player_a,6,5,,1.343750,0.200000,0.100000,0.000000,0.000000,1.000000,-1.000000,0.000000
uk_2025_r2_higgins_murphy,2025-12-04,2025/2026,UK Championship,Round Two,11,John Higgins,Shaun Murphy,7,10,1,1,4,4,0,0,0,0,5.0,5.0,0,0,0,0,0.2472,1.91,2.00,1.91,2.00,player_b,5,6,,0.093750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
uk_2025_r2_slessor_hawkins,2025-12-04,2025/2026,UK Championship,Round Two,11,Elliot Slessor,Barry Hawkins,21,14,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0677,2.50,1.44,2.50,1.44,player_b,0,6,,-0.218750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
uk_2025_r2_zhang_zhao,2025-12-04,2025/2026,UK Championship,Round Two,11,Zhang Anda,Zhao Xintong,35,15,1,1,1,5,0,0,0,0,3.0,3.0,1,0,0,0,0.0002,3.70,1.22,3.70,1.22,player_b,2,6,,-0.625000,0.000000,-0.200000,0.000000,0.000000,0.000000,-1.000000,0.000000
uk_2025_qf_hawkins_selby,2025-12-05,2025/2026,UK Championship,Quarter Final,11,Barry Hawkins,Mark Selby,14,11,1,1,6,4,0,0,0,0,1.0,3.0,0,0,0,0,0.0131,1.53,2.00,1.53,2.00,player_b,2,6,,-0.093750,0.000000,0.100000,0.000000,0.000000,-0.666667,0.000000,0.000000
uk_2025_qf_murphy_zhang,2025-12-05,2025/2026,UK Championship,Quarter Final,11,Shaun Murphy,Zhang Anda,10,35,2,1,5,-3,0,0,0,0,1.0,1.0,1,0,0,0,0.0615,1.44,2.75,1.44,2.75,player_a,6,3,,0.781250,0.200000,0.400000,0.000000,0.000000,0.000000,-1.000000,0.000000
uk_2025_qf_pang_robertson,2025-12-05,2025/2026,UK Championship,Quarter Final,11,Pang Junxu,Neil Robertson,30,4,1,2,3,9,0,0,0,0,2.0,2.0,0,0,0,0,0.0217,3.70,1.22,3.70,1.22,player_b,4,6,,-0.812500,-0.200000,-0.300000,0.000000,0.000000,0.000000,0.000000,0.000000
uk_2025_qf_trump_ding,2025-12-05,2025/2026,UK Championship,Quarter Final,11,Judd Trump,Ding Junhui,1,9,2,2,5,3,0,0,0,0,2.0,1.0,0,1,0,0,0.9916,1.36,3.20,1.36,3.20,player_a,6,2,,0.250000,0.000000,0.100000,0.000000,0.000000,0.333333,1.000000,0.000000
uk_2025_final_trump_selby,2025-12-07,2025/2026,UK Championship,Final,19,Judd Trump,Mark Selby,1,11,3,2,9,8,0,0,0,0,2.0,2.0,0,0,0,0,0.0780,1.25,4.00,1.25,4.00,player_b,8,10,,0.312500,0.200000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000
