match_date,competition,season,home_team,away_team,event_url,home_score,away_score,home_moneyline_decimal,away_moneyline_decimal,handicap_team,handicap_line,handicap_odds_decimal,total_line,over_odds_decimal,under_odds_decimal,source_bookmaker_home_away,source_bookmaker_total,source_bookmaker_handicap
2025-02-22,france-top-14,2024-2025,Vannes,Montpellier,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/rc-vannes-montpellier-herault-rc-2PbKs0fJ/,37,24,1.8,1.9091,,,,,,,bet365.us,,
2025-02-23,france-top-14,2024-2025,Bordeaux Begles,Clermont,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/bordeaux-begles-clermont-tzImqDVN/,22,18,1.05,8.5,,,,52.5,1.8,1.9091,bet365.us,market-average,
2025-03-01,france-top-14,2024-2025,Lyon,RC Toulonnais,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/lyon-rc-toulonnais-Eyh3o3Ci/,27,20,1.5,2.5,,,,,,,bet365.us,,
2025-03-01,france-top-14,2024-2025,Montpellier,Castres Olympique,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/montpellier-herault-rc-castres-olympique-nkjBqss4/,21,17,1.2899,3.5,,,,,,,bet365.us,,
2025-03-01,france-top-14,2024-2025,Racing 92,Section Paloise,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/racing-92-section-paloise-rHqKsLBG/,29,47,1.2899,3.5,,,,,,,bet365.us,,
2025-03-01,france-top-14,2024-2025,Stade Francais Paris,Stade Rochelais,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-francais-paris-stade-rochelais-jsmSuatT/,22,17,1.5714,2.25,,,,49.5,1.8333,1.8333,bet365.us,market-average,
2025-03-01,france-top-14,2024-2025,Stade Toulousain,Vannes,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/stade-toulousain-rc-vannes-zFObzw4j/,63,21,1.02,12.0,,,,62.5,1.7874,1.7874,bet365.us,market-average,
2025-03-01,france-top-14,2024-2025,USA Perpignan,Bordeaux Begles,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/usa-perpignan-bordeaux-begles-tCBpbtdc/,17,29,1.8,1.9091,,,,44.5,1.8,1.9091,bet365.us,market-average,
2025-03-02,france-top-14,2024-2025,Aviron Bayonnais,Clermont,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/aviron-bayonnais-clermont-CI8Jwigo/,31,18,1.25,3.75,,,,46.5,1.8333,1.8333,bet365.us,market-average,
2025-03-22,france-top-14,2024-2025,Clermont,Racing 92,https://www.oddsportal.com/rugby-union/france/top-14-2024-2025/clermont-racing-92-xv5gdKQ9/,21,23,1.3597,3.0,,,,43.5,1.8333,1.8333,bet365.us,market-average,
